Size	   Bubble Sort	Selection Sort	Insertion Sort
50	160686.92	42651.156	35562.23
100	77040.07	27531.1	113706.8
150	130129.03	38624.47	24324.4
200	149546.81	62193.36	29931.145
250	253251.23	101200.06	51204.465
300	323764.7	138213.45	65582.305
350	429609.38	177351.3	88624.53
400	584456.06	238842.4	115220.13
450	699863.06	283275.75	142944.55
500	937205.7	449375.9	206742.38
550	1109290.1	457784.88	237646.92
600	1206001.0	480489.38	241618.02
650	1391056.8	559878.3	279862.5
700	1650121.9	685007.06	346729.16
750	2077683.9	871734.06	423751.47
800	2043957.8	827034.3	414367.03
850	2266322.5	913272.0	464116.16
900	2546765.0	1042541.06	529429.5
950	2851913.5	1167396.1	609455.94
1000	3139074.5	1269200.9	619509.6
